,key_6hex_6h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_6hex,timestamp
168,861f1886fffffff_2017-03-21 06:00:00,39.0,1880.0,48.20512820512821,2.0,85.0,42.5,47.926829268292686,861f1886fffffff,2017-03-21 06:00:00
169,861f1886fffffff_2017-03-21 12:00:00,45.0,1895.0,42.111111111111114,2.0,155.0,77.5,43.61702127659574,861f1886fffffff,2017-03-21 12:00:00
170,861f1886fffffff_2017-03-21 18:00:00,29.0,1060.0,36.55172413793103,0.0,0.0,0.0,36.55172413793103,861f1886fffffff,2017-03-21 18:00:00
171,861f1886fffffff_2017-03-22 00:00:00,8.0,585.0,73.125,1.0,50.0,50.0,70.55555555555556,861f1886fffffff,2017-03-22 00:00:00
172,861f1886fffffff_2017-03-22 06:00:00,58.0,4015.0,69.22413793103448,0.0,0.0,0.0,69.22413793103448,861f1886fffffff,2017-03-22 06:00:00
173,861f1886fffffff_2017-03-22 12:00:00,60.0,3770.0,62.83333333333334,2.0,95.0,47.5,62.33870967741935,861f1886fffffff,2017-03-22 12:00:00
174,861f1886fffffff_2017-03-22 18:00:00,29.0,1600.0,55.17241379310346,0.0,0.0,0.0,55.172413793103445,861f1886fffffff,2017-03-22 18:00:00
175,861f1886fffffff_2017-03-23 00:00:00,8.0,470.0,58.75,0.0,0.0,0.0,58.75,861f1886fffffff,2017-03-23 00:00:00
176,861f1886fffffff_2017-03-23 06:00:00,53.0,4415.0,83.30188679245283,0.0,0.0,0.0,83.30188679245283,861f1886fffffff,2017-03-23 06:00:00
177,861f1886fffffff_2017-03-23 12:00:00,63.0,3425.0,54.36507936507937,4.0,150.0,37.5,53.35820895522388,861f1886fffffff,2017-03-23 12:00:00
178,861f1886fffffff_2017-03-23 18:00:00,23.0,1345.0,58.47826086956522,0.0,0.0,0.0,58.47826086956522,861f1886fffffff,2017-03-23 18:00:00
179,861f1886fffffff_2017-03-24 00:00:00,13.0,610.0,46.92307692307693,0.0,0.0,0.0,46.92307692307692,861f1886fffffff,2017-03-24 00:00:00
180,861f1886fffffff_2017-03-24 06:00:00,54.0,3245.0,60.0925925925926,0.0,0.0,0.0,60.092592592592595,861f1886fffffff,2017-03-24 06:00:00
181,861f1886fffffff_2017-03-24 12:00:00,54.0,3580.0,66.29629629629629,4.0,185.0,46.25,64.91379310344827,861f1886fffffff,2017-03-24 12:00:00
