,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
446,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b5fffffff,POINT (13.6858123489642 52.38681944391617),True,"LINESTRING (13.66441017478797 52.43742299906616, 13.6858123489642 52.38681944391617)",5.811090608394885,1,6.11364280894217
447,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.35201703555793 52.57399647913816)",26.032081431866807,5,30.56821404471085
448,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.66441017478797 52.43742299906616)",0.0,0,0.0
449,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.26217730882076 52.58568484738209)",31.823516224999537,6,36.68185685365302
450,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d487ffffff,POINT (13.28390146169232 52.5353111379206),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.28390146169232 52.5353111379206)",27.969845965785893,5,30.56821404471085
451,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b27ffffff,POINT (13.39530441655258 52.47313387921053),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.39530441655258 52.47313387921053)",18.661950388613253,3,18.34092842682651
452,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18b57ffffff,POINT (13.59617996879917 52.39883051010078),True,"LINESTRING (13.66441017478797 52.43742299906616, 13.59617996879917 52.39883051010078)",6.310780098949746,1,6.11364280894217
453,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f18867ffffff,POINT (13.14795621198939 52.45778129900459),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.14795621198939 52.45778129900459)",35.0740834569061,6,36.68185685365302
454,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d41fffffff,POINT (13.42022791909618 52.61262856955771),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.42022791909618 52.61262856955771)",25.54294398175318,5,30.56821404471085
455,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4d7ffffff,POINT (13.46344745765333 52.51179276736553),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.46344745765333 52.51179276736553)",15.926437490152809,3,18.34092842682651
