,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
598,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d1ffffff,POINT (13.49884059630979 52.51392563990274),False,9,21.729908
599,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d4ffffff,POINT (13.44445397798351 52.52789774647812),False,7,18.493970000000004
600,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f18b20ffffff,POINT (13.39530441655258 52.47313387921053),False,7,15.465054
601,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4abffffff,POINT (13.37103988238334 52.5579219431886),False,6,15.191924999999998
602,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d485ffffff,POINT (13.30025316333029 52.55356811412267),False,4,11.013680999999998
603,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d4d0ffffff,POINT (13.46344745765333 52.51179276736553),False,8,19.362248
604,871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),871f1d483ffffff,POINT (13.30292516845383 52.51923846998142),False,3,8.149545000000002
605,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b23ffffff,POINT (13.41429095035175 52.45702264084855),False,2,5.841617
606,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d482ffffff,POINT (13.26755965181566 52.51704777196807),False,4,10.460443000000001
607,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d48effffff,POINT (13.33829738447166 52.52141882174294),False,4,9.042380000000007
608,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d48cffffff,POINT (13.35466368497277 52.53967358270499),False,5,11.605462000000001
609,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4f2ffffff,POINT (13.42545257283741 52.54399459631815),False,5,14.173848000000001
610,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d48affffff,POINT (13.35730763436909 52.50533197221475),False,3,7.0899820000000044
611,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b34ffffff,POINT (13.30826100911115 52.45052307174103),True,1,3.1778320000000004
612,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4f0ffffff,POINT (13.44185323329728 52.56223431616588),False,6,16.183893
613,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18869ffffff,POINT (13.27293102556563 52.4483358777895),False,2,5.784370999999998
614,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),False,3,8.894568999999997
615,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d494ffffff,POINT (13.19684881679678 52.51263535853141),False,6,14.785946
616,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),False,0,0.0
617,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b22ffffff,POINT (13.37894099651292 52.45486645856462),True,1,3.2385219999999992
618,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d481ffffff,POINT (13.31927922770562 52.53749753655836),False,5,11.961314999999999
619,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4deffffff,POINT (13.51782052121785 52.49780649464314),False,6,17.383727000000004
620,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d2ffffff,POINT (13.44705206916438 52.49354246299598),False,4,11.217350000000005
621,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d49effffff,POINT (13.27024670775531 52.4827011724122),False,3,6.7937400000000014
622,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d48dffffff,POINT (13.3900548083934 52.54183927105417),False,5,12.356782999999995
623,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b25ffffff,POINT (13.41167771596202 52.4913949042375),False,3,8.524921999999997
624,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d488ffffff,POINT (13.37367627480208 52.52358882193953),False,4,9.865943000000005
625,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b24ffffff,POINT (13.37630997814494 52.48923699051952),False,2,6.030055999999999
626,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b26ffffff,POINT (13.35994888786519 52.47097165727213),True,1,3.128151
627,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b04ffffff,POINT (13.3979252074993 52.43875313355331),False,2,4.659992999999999
628,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d49cffffff,POINT (13.28658099723958 52.50097301352019),False,3,9.031439000000002
629,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4b2ffffff,POINT (13.17780856172941 52.52868988040235),False,7,17.512407
630,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4f3ffffff,POINT (13.46085695314495 52.54613955322785),False,6,15.783522000000005
