,key_6hex_6h,y_true,hex_id_6hex,timestamp
3852,861f18847ffffff_2017-01-23 12:00:00,13.0,861f18847ffffff,2017-01-23 12:00:00
3870,861f18847ffffff_2017-01-23 18:00:00,1.0,861f18847ffffff,2017-01-23 18:00:00
3888,861f18847ffffff_2017-01-24 00:00:00,1.0,861f18847ffffff,2017-01-24 00:00:00
3906,861f18847ffffff_2017-01-24 06:00:00,0.0,861f18847ffffff,2017-01-24 06:00:00
3924,861f18847ffffff_2017-01-24 12:00:00,11.0,861f18847ffffff,2017-01-24 12:00:00
3942,861f18847ffffff_2017-01-24 18:00:00,0.0,861f18847ffffff,2017-01-24 18:00:00
3960,861f18847ffffff_2017-01-25 00:00:00,0.0,861f18847ffffff,2017-01-25 00:00:00
3978,861f18847ffffff_2017-01-25 06:00:00,0.0,861f18847ffffff,2017-01-25 06:00:00
3996,861f18847ffffff_2017-01-25 12:00:00,6.0,861f18847ffffff,2017-01-25 12:00:00
4014,861f18847ffffff_2017-01-25 18:00:00,2.0,861f18847ffffff,2017-01-25 18:00:00
4032,861f18847ffffff_2017-01-26 00:00:00,0.0,861f18847ffffff,2017-01-26 00:00:00
4050,861f18847ffffff_2017-01-26 06:00:00,0.0,861f18847ffffff,2017-01-26 06:00:00
4068,861f18847ffffff_2017-01-26 12:00:00,8.0,861f18847ffffff,2017-01-26 12:00:00
4086,861f18847ffffff_2017-01-26 18:00:00,0.0,861f18847ffffff,2017-01-26 18:00:00
4104,861f18847ffffff_2017-01-27 00:00:00,0.0,861f18847ffffff,2017-01-27 00:00:00
4122,861f18847ffffff_2017-01-27 06:00:00,1.0,861f18847ffffff,2017-01-27 06:00:00
4140,861f18847ffffff_2017-01-27 12:00:00,6.0,861f18847ffffff,2017-01-27 12:00:00
4158,861f18847ffffff_2017-01-27 18:00:00,1.0,861f18847ffffff,2017-01-27 18:00:00
4176,861f18847ffffff_2017-01-28 00:00:00,0.0,861f18847ffffff,2017-01-28 00:00:00
4194,861f18847ffffff_2017-01-28 06:00:00,0.0,861f18847ffffff,2017-01-28 06:00:00
4212,861f18847ffffff_2017-01-28 12:00:00,2.0,861f18847ffffff,2017-01-28 12:00:00
4230,861f18847ffffff_2017-01-28 18:00:00,1.0,861f18847ffffff,2017-01-28 18:00:00
4248,861f18847ffffff_2017-01-29 00:00:00,1.0,861f18847ffffff,2017-01-29 00:00:00
4266,861f18847ffffff_2017-01-29 06:00:00,0.0,861f18847ffffff,2017-01-29 06:00:00
4284,861f18847ffffff_2017-01-29 12:00:00,1.0,861f18847ffffff,2017-01-29 12:00:00
4302,861f18847ffffff_2017-01-29 18:00:00,1.0,861f18847ffffff,2017-01-29 18:00:00
4320,861f18847ffffff_2017-01-30 00:00:00,1.0,861f18847ffffff,2017-01-30 00:00:00
4338,861f18847ffffff_2017-01-30 06:00:00,1.0,861f18847ffffff,2017-01-30 06:00:00
4356,861f18847ffffff_2017-01-30 12:00:00,9.0,861f18847ffffff,2017-01-30 12:00:00
4374,861f18847ffffff_2017-01-30 18:00:00,0.0,861f18847ffffff,2017-01-30 18:00:00
4392,861f18847ffffff_2017-01-31 00:00:00,0.0,861f18847ffffff,2017-01-31 00:00:00
4410,861f18847ffffff_2017-01-31 06:00:00,3.0,861f18847ffffff,2017-01-31 06:00:00
4428,861f18847ffffff_2017-01-31 12:00:00,6.0,861f18847ffffff,2017-01-31 12:00:00
4446,861f18847ffffff_2017-01-31 18:00:00,2.0,861f18847ffffff,2017-01-31 18:00:00
4464,861f18847ffffff_2017-02-01 00:00:00,1.0,861f18847ffffff,2017-02-01 00:00:00
4482,861f18847ffffff_2017-02-01 06:00:00,0.0,861f18847ffffff,2017-02-01 06:00:00
4500,861f18847ffffff_2017-02-01 12:00:00,8.0,861f18847ffffff,2017-02-01 12:00:00
4518,861f18847ffffff_2017-02-01 18:00:00,0.0,861f18847ffffff,2017-02-01 18:00:00
4536,861f18847ffffff_2017-02-02 00:00:00,0.0,861f18847ffffff,2017-02-02 00:00:00
4554,861f18847ffffff_2017-02-02 06:00:00,1.0,861f18847ffffff,2017-02-02 06:00:00
4572,861f18847ffffff_2017-02-02 12:00:00,11.0,861f18847ffffff,2017-02-02 12:00:00
4590,861f18847ffffff_2017-02-02 18:00:00,1.0,861f18847ffffff,2017-02-02 18:00:00
